iter	Passed	Remaining
418	2605	28486
419	2611	28481
420	2617	28474
421	2624	28474
422	2630	28466
423	2637	28460
424	2643	28454
425	2649	28452
426	2656	28447
427	2662	28442
428	2668	28430
429	2674	28424
430	2680	28411
431	2685	28401
432	2692	28396
433	2698	28394
434	2705	28389
435	2711	28385
436	2717	28377
437	2723	28371
438	2730	28367
439	2736	28360
440	2742	28351
441	2748	28345
442	2754	28334
443	2759	28320
444	2765	28309
445	2772	28306
446	2778	28298
447	2784	28293
448	2790	28286
449	2797	28280
450	2803	28274
451	2809	28270
452	2815	28263
453	2822	28263
454	2828	28255
455	2834	28242
456	2840	28235
457	2846	28228
458	2852	28222
459	2858	28217
460	2864	28207
461	2871	28202
462	2877	28195
463	2883	28187
464	2889	28178
465	2895	28168
466	2901	28162
467	2907	28159
468	2914	28155
469	2920	28149
470	2926	28142
471	2933	28140
472	2939	28131
473	2944	28118
474	2950	28105
475	2955	28093
476	2961	28081
477	2967	28071
478	2973	28060
479	2979	28052
480	2985	28049
481	2992	28047
482	2998	28044
483	3005	28039
484	3010	28029
485	3017	28029
486	3024	28028
487	3031	28025
488	3037	28017
489	3042	28006
490	3048	27997
491	3054	27990
492	3060	27980
493	3066	27972
494	3072	27966
495	3078	27959
496	3084	27948
497	3091	27944
498	3097	27935
499	3103	27928
500	3109	27922
501	3115	27916
502	3121	27910
503	3128	27903
504	3133	27895
505	3139	27885
506	3145	27876
507	3151	27868
508	3157	27860
509	3163	27855
510	3169	27846
511	3175	27837
512	3181	27827
513	3187	27819
514	3193	27811
515	3199	27805
516	3205	27796
517	3211	27787
518	3218	27787
519	3224	27780
520	3230	27776
521	3237	27771
522	3243	27766
523	3249	27760
524	3255	27751
525	3261	27744
526	3267	27736
527	3273	27729
528	3280	27723
529	3286	27716
530	3292	27706
531	3297	27696
532	3304	27692
533	3310	27685
534	3316	27682
535	3323	27677
536	3328	27667
537	3334	27657
538	3340	27646
539	3346	27638
540	3352	27628
541	3358	27625
542	3364	27619
543	3371	27614
544	3377	27608
545	3383	27601
546	3389	27596
547	3395	27588
548	3402	27583
549	3408	27576
550	3415	27577
551	3421	27567
552	3427	27562
553	3433	27553
554	3439	27544
555	3445	27537
556	3451	27529
557	3457	27521
558	3463	27516
559	3469	27508
560	3475	27501
561	3481	27495
562	3488	27489
563	3494	27483
564	3500	27474
565	3506	27468
566	3512	27461
567	3518	27457
568	3525	27451
569	3531	27447
570	3538	27443
571	3544	27440
572	3550	27432
573	3556	27425
574	3562	27417
575	3569	27411
576	3575	27404
577	3581	27397
578	3586	27388
579	3593	27381
580	3599	27374
581	3605	27369
582	3612	27367
583	3618	27363
584	3625	27358
585	3631	27352
586	3637	27347
587	3644	27344
588	3650	27341
589	3657	27335
590	3663	27332
591	3670	27326
592	3676	27321
593	3682	27315
594	3688	27309
595	3694	27303
596	3701	27296
597	3707	27290
598	3713	27284
599	3720	27280
600	3726	27274
601	3732	27266
602	3738	27260
603	3744	27253
604	3750	27246
605	3756	27238
606	3762	27231
607	3768	27224
608	3774	27217
609	3781	27211
610	3787	27205
611	3793	27199
612	3800	27195
613	3806	27188
614	3811	27177
615	3817	27171
616	3824	27169
617	3831	27170
618	3837	27157
619	3843	27151
620	3849	27147
621	3856	27140
622	3862	27133
623	3868	27126
624	3874	27120
625	3880	27113
626	3886	27104
627	3891	27093
628	3897	27084
629	3903	27078
630	3909	27067
631	3915	27058
632	3920	27049
633	3926	27038
634	3932	27029
635	3938	27022
636	3944	27015
637	3949	27004
638	3955	26997
639	3961	26987
640	3967	26979
641	3973	26971
642	3979	26964
643	3985	26955
644	3991	26948
645	3997	26945
646	4004	26944
647	4011	26939
648	4016	26929
649	4022	26920
650	4029	26917
651	4035	26910
652	4041	26902
653	4047	26899
654	4053	26891
655	4059	26883
656	4066	26878
657	4072	26871
658	4078	26864
659	4084	26856
660	4090	26848
661	4096	26840
662	4101	26832
663	4107	26825
664	4114	26818
665	4119	26810
666	4126	26805
667	4132	26796
668	4138	26788
669	4143	26779
670	4150	26775
671	4156	26769
672	4162	26763
673	4169	26758
674	4175	26753
675	4181	26745
676	4187	26739
677	4193	26731
678	4200	26727
679	4206	26721
680	4211	26712
681	4217	26704
682	4224	26702
683	4230	26696
684	4237	26692
685	4243	26685
686	4249	26677
687	4255	26671
688	4261	26664
689	4268	26661
690	4274	26655
691	4280	26646
692	4286	26640
693	4292	26634
694	4298	26628
695	4304	26619
696	4310	26609
697	4315	26598
698	4321	26590
699	4327	26581
700	4334	26579
701	4339	26568
702	4344	26557
703	4350	26547
704	4355	26535
705	4361	26525
706	4367	26517
707	4372	26506
708	4377	26496
709	4383	26486
710	4388	26475
711	4394	26464
712	4400	26458
713	4406	26453
714	4413	26447
715	4420	26448
716	4426	26443
717	4433	26440
718	4439	26434
719	4445	26428
720	4452	26423
721	4458	26418
722	4464	26413
723	4471	26406
724	4477	26399
725	4483	26393
726	4489	26385
727	4495	26380
728	4501	26375
729	4507	26367
730	4514	26363
731	4520	26358
732	4527	26353
733	4533	26350
734	4540	26345
735	4546	26340
736	4553	26335
737	4559	26331
738	4565	26326
739	4572	26322
740	4578	26317
741	4585	26311
742	4591	26305
743	4597	26302
744	4604	26297
745	4610	26288
746	4616	26282
747	4623	26281
748	4629	26276
749	4636	26271
750	4642	26267
751	4649	26266
752	4655	26259
753	4661	26252
754	4667	26245
755	4673	26238
756	4680	26234
757	4686	26229
758	4693	26223
759	4699	26218
760	4705	26213
761	4712	26207
762	4718	26200
763	4724	26194
764	4731	26190
765	4737	26185
766	4743	26177
767	4749	26170
768	4755	26164
769	4761	26158
770	4767	26152
771	4774	26146
772	4780	26140
773	4786	26134
774	4792	26128
775	4799	26124
776	4805	26118
777	4812	26115
778	4818	26109
779	4824	26102
780	4830	26094
781	4836	26087
782	4842	26078
783	4848	26071
784	4853	26062
785	4859	26053
786	4865	26046
787	4871	26037
788	4877	26029
789	4883	26024
790	4889	26014
791	4895	26010
792	4901	26003
793	4907	25996
794	4914	25992
795	4920	25986
796	4926	25982
797	4933	25976
798	4939	25971
799	4945	25965
800	4951	25958
801	4958	25953
802	4964	25948
803	4971	25943
804	4977	25940
805	4984	25936
806	4990	25929
807	4997	25929
808	5003	25921
809	5010	25920
810	5017	25915
811	5024	25912
812	5030	25906
813	5036	25901
814	5043	25895
815	5049	25890
816	5055	25886
817	5062	25881
818	5068	25876
819	5074	25868
820	5081	25864
821	5087	25859
822	5093	25853
823	5100	25849
824	5106	25844
825	5113	25839
826	5119	25832
827	5125	25826
828	5131	25820
829	5138	25815
830	5144	25808
831	5150	25802
832	5156	25795
833	5162	25788
834	5168	25781
835	5174	25774
836	5181	25768
837	5187	25762
838	5193	25757
839	5200	25754
840	5207	25753
841	5214	25749
842	5219	25740
843	5225	25733
844	5232	25728
845	5238	25723
846	5244	25716
847	5251	25710
848	5257	25703
849	5263	25697
850	5269	25691
851	5275	25683
852	5281	25674
853	5287	25669
854	5293	25663
855	5300	25658
856	5305	25650
857	5312	25646
858	5318	25639
859	5324	25632
860	5331	25627
861	5337	25621
862	5343	25614
863	5349	25608
864	5355	25602
865	5362	25596
866	5368	25591
867	5374	25584
868	5381	25580
869	5387	25575
870	5394	25574
871	5401	25571
872	5407	25565
873	5414	25559
874	5420	25556
875	5427	25550
876	5433	25544
877	5439	25537
878	5445	25532
879	5452	25525
880	5458	25519
881	5464	25512
882	5470	25505
883	5476	25498
884	5483	25495
885	5489	25490
886	5495	25482
887	5501	25474
888	5507	25467
889	5513	25460
890	5518	25451
891	5524	25443
892	5530	25435
893	5536	25428
894	5542	25421
895	5548	25414
896	5554	25407
897	5560	25399
898	5566	25393
899	5572	25386
900	5578	25378
901	5584	25372
902	5590	25366
903	5597	25362
904	5604	25359
905	5610	25352
906	5616	25344
907	5622	25337
908	5628	25331
909	5633	25321
910	5639	25314
911	5645	25305
912	5651	25298
913	5657	25290
914	5663	25284
915	5669	25276
916	5675	25272
917	5682	25268
918	5688	25261
919	5694	25254
920	5700	25247
921	5707	25242
922	5713	25238
923	5720	25233
924	5726	25228
925	5732	25220
926	5739	25218
927	5746	25213
928	5752	25207
929	5758	25201
930	5764	25196
931	5771	25189
932	5777	25183
933	5783	25175
934	5788	25168
935	5795	25164
936	5802	25161
937	5808	25154
938	5814	25147
939	5820	25139
940	5826	25133
941	5832	25127
942	5839	25123
943	5845	25117
944	5852	25111
945	5858	25106
946	5864	25100
947	5870	25093
948	5877	25089
949	5883	25083
950	5889	25075
951	5895	25069
952	5902	25064
953	5908	25057
954	5913	25048
955	5919	25039
956	5925	25031
957	5930	25023
958	5936	25015
959	5942	25007
960	5947	24997
961	5953	24989
962	5959	24981
963	5964	24973
964	5970	24966
965	5976	24956
966	5981	24948
967	5987	24938
968	5992	24929
969	5999	24925
970	6005	24920
971	6011	24913
972	6018	24909
973	6025	24905
974	6032	24901
975	6037	24892
976	6043	24884
977	6049	24879
978	6056	24873
979	6062	24867
980	6068	24861
981	6074	24854
982	6080	24848
983	6086	24841
984	6092	24835
985	6099	24830
986	6105	24823
987	6111	24818
988	6118	24814
989	6124	24808
990	6131	24802
991	6136	24794
992	6142	24786
993	6148	24780
994	6154	24773
995	6160	24766
996	6166	24759
997	6172	24752
998	6178	24745
999	6184	24739
1000	6191	24736
1001	6198	24732
1002	6205	24727
1003	6211	24722
1004	6219	24721
1005	6225	24716
1006	6231	24710
1007	6238	24705
1008	6244	24699
1009	6250	24692
1010	6256	24686
1011	6262	24677
1012	6268	24673
1013	6275	24667
1014	6281	24661
1015	6287	24654
1016	6293	24648
1017	6300	24643
1018	6306	24638
1019	6312	24632
1020	6319	24626
1021	6325	24622
1022	6332	24617
1023	6338	24612
1024	6345	24606
1025	6351	24602
1026	6358	24596
1027	6364	24589
1028	6370	24584
1029	6376	24578
1030	6383	24572
1031	6390	24571
1032	6397	24567
1033	6403	24560
1034	6410	24556
1035	6416	24549
1036	6422	24544
1037	6428	24538
1038	6435	24532
1039	6441	24527
1040	6448	24523
1041	6454	24517
1042	6460	24511
1043	6466	24504
1044	6473	24498
1045	6479	24493
1046	6485	24487
1047	6491	24481
1048	6498	24475
1049	6504	24471
1050	6511	24465
1051	6518	24461
1052	6524	24455
1053	6530	24449
1054	6536	24441
1055	6542	24433
1056	6548	24426
1057	6553	24418
1058	6559	24410
1059	6565	24404
1060	6571	24398
1061	6578	24393
1062	6584	24387
1063	6591	24382
1064	6597	24377
1065	6604	24372
1066	6611	24369
1067	6617	24364
1068	6623	24357
1069	6630	24351
1070	6636	24345
1071	6642	24337
1072	6648	24330
1073	6654	24323
1074	6660	24318
1075	6666	24312
1076	6673	24306
1077	6679	24300
1078	6685	24293
1079	6691	24287
1080	6697	24280
1081	6703	24273
1082	6709	24266
1083	6715	24259
1084	6721	24253
1085	6727	24247
1086	6734	24241
1087	6740	24235
1088	6746	24229
1089	6752	24222
1090	6758	24216
1091	6765	24211
1092	6771	24204
1093	6777	24196
1094	6783	24191
1095	6790	24187
1096	6796	24181
1097	6803	24176
1098	6808	24168
1099	6814	24160
1100	6821	24156
1101	6826	24148
1102	6832	24140
1103	6838	24133
1104	6844	24125
1105	6850	24118
1106	6856	24111
1107	6862	24105
1108	6868	24097
1109	6874	24092
1110	6881	24088
1111	6887	24082
1112	6893	24075
1113	6899	24068
1114	6905	24062
1115	6912	24056
1116	6918	24051
1117	6925	24047
1118	6931	24040
1119	6937	24032
1120	6943	24026
1121	6949	24020
1122	6955	24012
1123	6961	24007
1124	6967	24000
1125	6974	23995
1126	6980	23988
1127	6986	23981
1128	6992	23976
1129	6998	23969
1130	7004	23962
1131	7012	23960
1132	7018	23954
1133	7024	23948
1134	7030	23940
1135	7036	23934
1136	7043	23929
1137	7049	23923
1138	7055	23917
1139	7062	23912
1140	7068	23906
1141	7074	23901
1142	7081	23894
1143	7087	23888
1144	7093	23882
1145	7099	23875
1146	7105	23868
1147	7111	23861
1148	7117	23855
1149	7123	23848
1150	7129	23842
1151	7135	23835
1152	7141	23829
1153	7148	23822
1154	7154	23816
1155	7160	23808
1156	7166	23802
1157	7172	23797
1158	7177	23788
1159	7183	23780
1160	7189	23773
1161	7196	23768
1162	7202	23761
1163	7208	23756
1164	7215	23752
